store,sku,snapshot_date,quantity_on_hand,unit_cost,received_date,last_sale_date
MAIN,FLO-001,2026-09-11,44,14.0000,2026-09-04,2026-09-11
MAIN,FLO-002,2026-09-11,227,16.0000,2026-08-05,2026-09-11
MAIN,FLO-003,2026-09-11,266,28.0000,2026-07-24,2026-09-11
MAIN,FLO-004,2026-09-11,513,15.0000,2026-08-17,2026-09-11
MAIN,FLO-005,2026-09-11,417,15.5000,2026-08-18,2026-09-11
MAIN,FLO-006,2026-09-11,155,52.0000,2026-05-10,2026-09-11
MAIN,FLO-007,2026-09-11,423,13.0000,2026-08-24,2026-09-11
MAIN,FLO-008,2026-09-11,176,13.5000,2026-09-06,2026-09-11
MAIN,FLO-009,2026-09-11,65,95.0000,2026-05-11,2026-09-11
MAIN,FLO-010,2026-09-11,143,18.0000,2026-07-17,2026-09-11
MAIN,PRE-001,2026-09-11,988,3.2000,2026-08-28,2026-09-11
MAIN,PRE-002,2026-09-11,797,3.4000,2026-08-18,2026-09-11
MAIN,PRE-003,2026-09-11,391,6.0000,2026-07-26,2026-09-11
MAIN,PRE-004,2026-09-11,186,12.0000,2026-08-12,2026-09-11
MAIN,PRE-005,2026-09-11,558,1.8000,2026-08-29,2026-09-11
MAIN,VAP-001,2026-09-11,179,24.6400,2026-08-24,2026-09-11
MAIN,VAP-002,2026-09-11,324,15.6800,2026-08-17,2026-09-11
MAIN,VAP-003,2026-09-11,221,13.4400,2026-08-05,2026-09-11
MAIN,VAP-004,2026-09-11,133,24.0000,2026-07-13,2026-09-11
MAIN,VAP-005,2026-09-11,460,9.0000,2026-07-16,2026-09-11
MAIN,VAP-006,2026-09-11,235,4.0000,2026-07-22,2026-09-11
MAIN,EDI-001,2026-09-11,48,6.0000,2026-09-08,2026-09-11
MAIN,EDI-002,2026-09-11,364,7.0000,2026-08-22,2026-09-11
MAIN,EDI-003,2026-09-11,216,6.5000,2026-08-11,2026-09-11
MAIN,EDI-004,2026-09-11,236,7.5000,2026-07-14,2026-09-11
MAIN,EDI-005,2026-09-11,284,4.0000,2026-08-18,2026-09-11
MAIN,EDI-006,2026-09-11,219,3.0000,2026-08-07,2026-09-11
MAIN,EDI-007,2026-09-11,170,6.0000,2026-07-25,2026-09-11
MAIN,CON-001,2026-09-11,128,32.0000,2026-08-11,2026-09-11
MAIN,CON-002,2026-09-11,103,18.0000,2026-07-16,2026-09-11
MAIN,CON-003,2026-09-11,90,13.4400,2026-08-22,2026-09-11
MAIN,CON-004,2026-09-11,73,24.6400,2026-07-14,2026-09-11
MAIN,TIN-001,2026-09-11,67,18.0000,2026-08-18,2026-09-11
MAIN,TIN-002,2026-09-11,43,16.0000,2026-08-28,2026-09-11
MAIN,TOP-001,2026-09-11,88,12.0000,2026-07-19,2026-09-10
MAIN,TOP-002,2026-09-11,62,9.0000,2026-07-27,2026-09-11
MAIN,TOP-003,2026-09-11,48,8.0000,2026-04-24,
MAIN,ACC-001,2026-09-11,144,5.0000,2026-08-01,2026-09-11
MAIN,ACC-002,2026-09-11,209,0.6000,2026-08-21,2026-09-11
MAIN,ACC-003,2026-09-11,103,6.0000,2026-08-24,2026-09-11
MAIN,ACC-004,2026-09-11,658,0.4000,2026-08-05,2026-09-11
MAIN,ACC-005,2026-09-11,65,2.5000,2026-05-18,2026-09-11
