transaction_id,line_no,sku,quantity,regular_price,sale_price,unit_cost,promotion
T0000001,1,FLO-007,1,32.00,32.00,13.0000,
T0000001,2,EDI-004,1,25.00,25.00,7.5000,
T0000002,1,EDI-006,2,8.00,8.00,3.0000,
T0000002,2,ACC-004,2,2.00,2.00,0.4000,
T0000002,3,CON-003,1,30.00,30.00,12.0000,
T0000003,1,EDI-007,2,18.00,18.00,6.0000,
T0000004,1,FLO-006,1,120.00,120.00,52.0000,
T0000005,1,TOP-001,1,35.00,35.00,12.0000,
T0000005,2,PRE-005,1,6.00,6.00,1.8000,
T0000006,1,EDI-001,1,20.00,20.00,6.0000,
T0000006,2,CON-004,2,55.00,55.00,22.0000,
T0000006,3,FLO-007,2,32.00,32.00,13.0000,
T0000007,1,VAP-006,1,15.00,15.00,4.0000,
T0000008,1,ACC-001,1,20.00,20.00,5.0000,
T0000008,2,VAP-005,2,28.00,28.00,9.0000,
T0000009,1,PRE-001,1,10.00,10.00,3.2000,
T0000010,1,VAP-003,1,32.00,32.00,12.0000,
T0000011,1,PRE-001,1,10.00,10.00,3.2000,
T0000011,2,VAP-005,1,28.00,22.40,9.0000,
T0000012,1,VAP-005,1,28.00,28.00,9.0000,
T0000012,2,VAP-001,1,55.00,44.00,22.0000,
T0000012,3,PRE-001,1,10.00,8.00,3.2000,
T0000013,1,FLO-001,1,35.00,35.00,14.0000,
T0000014,1,EDI-006,1,8.00,8.00,3.0000,
T0000015,1,FLO-002,2,40.00,36.00,16.0000,
T0000015,2,PRE-001,2,10.00,9.00,3.2000,
T0000016,1,CON-002,2,45.00,36.00,18.0000,
T0000016,2,FLO-004,1,38.00,38.00,15.0000,
T0000017,1,FLO-001,1,35.00,35.00,14.0000,
T0000018,1,PRE-001,1,10.00,10.00,3.2000,
T0000018,2,PRE-002,3,10.00,10.00,3.4000,
T0000019,1,PRE-002,2,10.00,10.00,3.4000,
T0000020,1,ACC-002,1,3.00,2.40,0.6000,
T0000020,2,PRE-003,1,18.00,14.40,6.0000,
T0000021,1,PRE-001,2,10.00,10.00,3.2000,
T0000021,2,VAP-002,2,40.00,40.00,14.0000,
T0000022,1,CON-002,1,45.00,40.50,18.0000,
T0000023,1,VAP-002,1,40.00,40.00,14.0000,
T0000024,1,VAP-002,1,40.00,40.00,14.0000,
T0000025,1,PRE-001,1,10.00,10.00,3.2000,
T0000026,1,FLO-001,1,35.00,35.00,14.0000,
T0000026,2,VAP-004,1,60.00,60.00,24.0000,
T0000026,3,VAP-002,1,40.00,40.00,14.0000,
T0000027,1,PRE-003,1,18.00,18.00,6.0000,
